epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,138.118,3.52511,5.10729,3.72368,0.06319,0.07428,0.0176,0.00461,3.2099,3.91035,3.38976,0.000332094,0.000332094,0.000332094
2,252.399,2.4344,3.07598,2.49242,0.46073,0.44249,0.40792,0.18826,1.95897,2.06938,1.9701,0.000663232,0.000663232,0.000663232
3,366,2.07339,2.28984,2.10325,0.57947,0.58139,0.57731,0.26742,1.89562,1.73388,1.84116,0.000992169,0.000992169,0.000992169
4,479.257,1.85421,1.91218,1.87832,0.63983,0.63703,0.65155,0.33503,1.66251,1.69308,1.63866,0.0009901,0.0009901,0.0009901
5,592.568,1.72052,1.65135,1.73998,0.63878,0.6372,0.70157,0.37705,1.59547,1.52792,1.53275,0.0009868,0.0009868,0.0009868
6,705.984,1.65589,1.51941,1.66685,0.81744,0.71392,0.80362,0.4548,1.52304,1.25918,1.48446,0.0009835,0.0009835,0.0009835
7,818.972,1.5897,1.38161,1.60552,0.79585,0.73982,0.82488,0.4619,1.47421,1.17859,1.44578,0.0009802,0.0009802,0.0009802
8,932.871,1.55681,1.34813,1.57875,0.84006,0.75674,0.84478,0.46356,1.54919,1.16855,1.47983,0.0009769,0.0009769,0.0009769
9,1046.32,1.5084,1.24085,1.53167,0.82701,0.78576,0.87286,0.49795,1.41902,1.08206,1.39719,0.0009736,0.0009736,0.0009736
10,1159.66,1.46859,1.21457,1.52087,0.7892,0.75892,0.83797,0.46931,1.52145,1.15749,1.47409,0.0009703,0.0009703,0.0009703
11,1273.22,1.43216,1.14913,1.47252,0.89226,0.79336,0.89509,0.52616,1.3965,0.97789,1.38046,0.000967,0.000967,0.000967
12,1386.59,1.41215,1.11161,1.45881,0.84983,0.80722,0.88785,0.5223,1.38614,1.00298,1.36005,0.0009637,0.0009637,0.0009637
13,1499.68,1.40169,1.09502,1.44661,0.89413,0.84075,0.91448,0.55968,1.35317,0.88858,1.33641,0.0009604,0.0009604,0.0009604
14,1613.05,1.38321,1.05537,1.43424,0.88912,0.83892,0.91039,0.55001,1.39911,0.89135,1.36232,0.0009571,0.0009571,0.0009571
15,1725.99,1.37024,1.03206,1.42352,0.86806,0.86072,0.91294,0.5588,1.3512,0.90904,1.33993,0.0009538,0.0009538,0.0009538
16,1838.91,1.35429,1.01586,1.41825,0.88906,0.87213,0.92795,0.56339,1.4154,0.88064,1.39575,0.0009505,0.0009505,0.0009505
17,1952.2,1.33775,0.98727,1.38874,0.9101,0.86131,0.92737,0.5614,1.37679,0.84476,1.36453,0.0009472,0.0009472,0.0009472
18,2065.78,1.32048,0.96824,1.37987,0.91316,0.84544,0.92541,0.55619,1.35528,0.8667,1.34587,0.0009439,0.0009439,0.0009439
19,2179.34,1.31187,0.93872,1.37735,0.89752,0.83681,0.91753,0.56134,1.37411,0.86923,1.35213,0.0009406,0.0009406,0.0009406
